Year,WC Percent,NC Percent,NS Percent
2005,5.73,2.17,2.33
2006,5.37,2.11,2.42
2007,4.9,1.94,2.25
2008,4.69,1.79,2.12
2009,4.58,1.69,1.92
2010,4.93,1.76,1.92
2011,4.81,1.77,2.01
2012,4.87,1.82,2.07
2013,5.31,2,2.16
2014,5.42,2.12,2.19
